TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T401130,3,Chennai,2025-05-09,56036.49,SUCCESS,WITHDRAWAL,Adyar Branch,C2746,Travel
T401131,3,Chennai,2025-05-09,33712.82,SUCCESS,DEPOSIT,Adyar Branch,C5981,Shopping
T401132,3,Chennai,2025-05-09,7587.02,FAILED,TRANSFER,Adyar Branch,C8197,Travel
T401133,3,Chennai,2025-05-09,92398.92,SUCCESS,DEPOSIT,Adyar Branch,C9771,Loan Payment
T401134,3,Chennai,2025-05-09,58060.91,SUCCESS,WITHDRAWAL,Adyar Branch,C6804,Others
T401135,3,Chennai,2025-05-09,64790.9,SUCCESS,WITHDRAWAL,Adyar Branch,C2187,Loan Payment
T401136,3,Chennai,2025-05-09,24451.5,SUCCESS,DEPOSIT,Adyar Branch,C7367,Education Fees
T401137,3,Chennai,2025-05-09,7524.61,SUCCESS,WITHDRAWAL,Adyar Branch,C5782,Education Fees
T401138,3,Chennai,2025-05-09,1996.46,FAILED,WITHDRAWAL,Adyar Branch,C8930,Loan Payment
T401139,3,Chennai,2025-05-09,49693.83,FAILED,TRANSFER,Adyar Branch,C5065,Shopping
T401140,3,Chennai,2025-05-09,82537.52,FAILED,WITHDRAWAL,Adyar Branch,C8220,Shopping
T401141,3,Chennai,2025-05-09,97689.94,FAILED,DEPOSIT,Adyar Branch,C1238,Others
T401142,3,Chennai,2025-05-09,59910.96,FAILED,DEPOSIT,Adyar Branch,C1042,Loan Payment
T401143,3,Chennai,2025-05-09,19880.82,SUCCESS,TRANSFER,Adyar Branch,C3036,Medical Expenses
T401144,3,Chennai,2025-05-09,59384.74,FAILED,DEPOSIT,Adyar Branch,C1084,Shopping
T401145,3,Chennai,2025-05-09,4463.45,SUCCESS,TRANSFER,Adyar Branch,C2448,Education Fees
T401146,3,Chennai,2025-05-09,49035.45,FAILED,WITHDRAWAL,Adyar Branch,C4805,Medical Expenses
T401147,3,Chennai,2025-05-09,38713.78,SUCCESS,TRANSFER,Adyar Branch,C1856,Travel
T401148,3,Chennai,2025-05-09,97194.55,FAILED,WITHDRAWAL,Adyar Branch,C1103,Others
T401149,3,Chennai,2025-05-09,51028.24,SUCCESS,WITHDRAWAL,Adyar Branch,C4767,Loan Payment
