TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T400600,2,Chennai,2025-05-09,20699.41,FAILED,WITHDRAWAL,Anna Nagar Branch,C4120,Loan Payment
T400601,2,Chennai,2025-05-09,74159.56,SUCCESS,DEPOSIT,Anna Nagar Branch,C1764,Bill Payment
T400602,2,Chennai,2025-05-09,41911.68,FAILED,WITHDRAWAL,Anna Nagar Branch,C7421,Shopping
T400603,2,Chennai,2025-05-09,87015.4,FAILED,DEPOSIT,Anna Nagar Branch,C8025,Education Fees
T400604,2,Chennai,2025-05-09,55319.1,FAILED,DEPOSIT,Anna Nagar Branch,C1066,Travel
T400605,2,Chennai,2025-05-09,35857.43,FAILED,WITHDRAWAL,Anna Nagar Branch,C6173,Shopping
T400606,2,Chennai,2025-05-09,57795.06,FAILED,TRANSFER,Anna Nagar Branch,C4282,Education Fees
T400607,2,Chennai,2025-05-09,51603.72,SUCCESS,WITHDRAWAL,Anna Nagar Branch,C7745,Loan Payment
T400608,2,Chennai,2025-05-09,88985.74,FAILED,DEPOSIT,Anna Nagar Branch,C1185,Medical Expenses
T400609,2,Chennai,2025-05-09,38551.18,FAILED,WITHDRAWAL,Anna Nagar Branch,C7491,Others
T400610,2,Chennai,2025-05-09,18648.71,FAILED,TRANSFER,Anna Nagar Branch,C1058,Shopping
T400611,2,Chennai,2025-05-09,81633.78,SUCCESS,DEPOSIT,Anna Nagar Branch,C2783,Others
T400612,2,Chennai,2025-05-09,34708.33,SUCCESS,WITHDRAWAL,Anna Nagar Branch,C2362,Shopping
T400613,2,Chennai,2025-05-09,76362.83,FAILED,WITHDRAWAL,Anna Nagar Branch,C8681,Others
T400614,2,Chennai,2025-05-09,21270.8,FAILED,WITHDRAWAL,Anna Nagar Branch,C6709,Others
T400615,2,Chennai,2025-05-09,91238.6,FAILED,TRANSFER,Anna Nagar Branch,C8468,Medical Expenses
T400616,2,Chennai,2025-05-09,98766.18,FAILED,TRANSFER,Anna Nagar Branch,C4605,Medical Expenses
T400617,2,Chennai,2025-05-09,46485.42,FAILED,DEPOSIT,Anna Nagar Branch,C7299,Others
T400618,2,Chennai,2025-05-09,71134.07,SUCCESS,TRANSFER,Anna Nagar Branch,C2824,Loan Payment
T400619,2,Chennai,2025-05-09,77897.13,SUCCESS,TRANSFER,Anna Nagar Branch,C5355,Bill Payment
T400620,2,Chennai,2025-05-09,26394.02,FAILED,WITHDRAWAL,Anna Nagar Branch,C1574,Bill Payment
T400621,2,Chennai,2025-05-09,24338.73,FAILED,DEPOSIT,Anna Nagar Branch,C7732,Education Fees
T400622,2,Chennai,2025-05-09,16256.23,FAILED,TRANSFER,Anna Nagar Branch,C2657,Others
T400623,2,Chennai,2025-05-09,60851.2,SUCCESS,DEPOSIT,Anna Nagar Branch,C9502,Loan Payment
T400624,2,Chennai,2025-05-09,27348.55,SUCCESS,TRANSFER,Anna Nagar Branch,C8861,Travel
T400625,2,Chennai,2025-05-09,38608.79,FAILED,WITHDRAWAL,Anna Nagar Branch,C9523,Medical Expenses
T400626,2,Chennai,2025-05-09,14331.41,FAILED,DEPOSIT,Anna Nagar Branch,C9551,Shopping
T400627,2,Chennai,2025-05-09,18310.2,SUCCESS,TRANSFER,Anna Nagar Branch,C1150,Medical Expenses
T400628,2,Chennai,2025-05-09,54096.2,SUCCESS,DEPOSIT,Anna Nagar Branch,C5822,Loan Payment
T400629,2,Chennai,2025-05-09,52269.99,FAILED,WITHDRAWAL,Anna Nagar Branch,C2131,Shopping
T400630,2,Chennai,2025-05-09,16751.33,FAILED,TRANSFER,Anna Nagar Branch,C1461,Travel
T400631,2,Chennai,2025-05-09,64347.06,FAILED,WITHDRAWAL,Anna Nagar Branch,C1828,Travel
T400632,2,Chennai,2025-05-09,6787.9,FAILED,DEPOSIT,Anna Nagar Branch,C3652,Shopping
T400633,2,Chennai,2025-05-09,52519.66,FAILED,WITHDRAWAL,Anna Nagar Branch,C7213,Shopping
T400634,2,Chennai,2025-05-09,36820.19,FAILED,DEPOSIT,Anna Nagar Branch,C1520,Medical Expenses
T400635,2,Chennai,2025-05-09,82491.53,SUCCESS,WITHDRAWAL,Anna Nagar Branch,C8209,Shopping
T400636,2,Chennai,2025-05-09,11859.54,SUCCESS,WITHDRAWAL,Anna Nagar Branch,C4136,Bill Payment
T400637,2,Chennai,2025-05-09,2269.78,FAILED,WITHDRAWAL,Anna Nagar Branch,C9312,Medical Expenses
T400638,2,Chennai,2025-05-09,23285.35,SUCCESS,DEPOSIT,Anna Nagar Branch,C2599,Others
T400639,2,Chennai,2025-05-09,25439.12,FAILED,TRANSFER,Anna Nagar Branch,C6995,Bill Payment
T400640,2,Chennai,2025-05-09,48361.04,FAILED,WITHDRAWAL,Anna Nagar Branch,C3159,Others
T400641,2,Chennai,2025-05-09,474.21,FAILED,TRANSFER,Anna Nagar Branch,C1059,Travel
T400642,2,Chennai,2025-05-09,61230.05,FAILED,WITHDRAWAL,Anna Nagar Branch,C5224,Education Fees
T400643,2,Chennai,2025-05-09,92726.15,SUCCESS,TRANSFER,Anna Nagar Branch,C2193,Shopping
T400644,2,Chennai,2025-05-09,60595.52,SUCCESS,WITHDRAWAL,Anna Nagar Branch,C4016,Shopping
