TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T400000,1,Chennai,2025-05-09,69086.25,FAILED,WITHDRAWAL,T Nagar Branch,C9937,Others
T400001,1,Chennai,2025-05-09,52383.31,SUCCESS,DEPOSIT,T Nagar Branch,C5333,Shopping
T400002,1,Chennai,2025-05-09,71596.18,SUCCESS,WITHDRAWAL,T Nagar Branch,C3197,Bill Payment
T400003,1,Chennai,2025-05-09,17684.33,FAILED,TRANSFER,T Nagar Branch,C2022,Education Fees
T400004,1,Chennai,2025-05-09,94929.96,FAILED,TRANSFER,T Nagar Branch,C9477,Medical Expenses
T400005,1,Chennai,2025-05-09,41039.01,SUCCESS,TRANSFER,T Nagar Branch,C5359,Shopping
T400006,1,Chennai,2025-05-09,52695.99,FAILED,TRANSFER,T Nagar Branch,C3241,Bill Payment
T400007,1,Chennai,2025-05-09,99326.92,SUCCESS,TRANSFER,T Nagar Branch,C2086,Travel
T400008,1,Chennai,2025-05-09,31109.87,FAILED,DEPOSIT,T Nagar Branch,C6407,Loan Payment
T400009,1,Chennai,2025-05-09,5454.45,FAILED,DEPOSIT,T Nagar Branch,C2191,Travel
T400010,1,Chennai,2025-05-09,52605.18,SUCCESS,WITHDRAWAL,T Nagar Branch,C5570,Loan Payment
T400011,1,Chennai,2025-05-09,8237.4,SUCCESS,DEPOSIT,T Nagar Branch,C4769,Bill Payment
T400012,1,Chennai,2025-05-09,2489.1,FAILED,WITHDRAWAL,T Nagar Branch,C7724,Bill Payment
T400013,1,Chennai,2025-05-09,44847.33,SUCCESS,DEPOSIT,T Nagar Branch,C1468,Shopping
T400014,1,Chennai,2025-05-09,21190.16,SUCCESS,DEPOSIT,T Nagar Branch,C8666,Education Fees
T400015,1,Chennai,2025-05-09,49338.82,FAILED,WITHDRAWAL,T Nagar Branch,C5823,Loan Payment
T400016,1,Chennai,2025-05-09,83888.55,FAILED,WITHDRAWAL,T Nagar Branch,C6338,Travel
