TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T402198,5,Chennai,2025-05-09,12986.62,FAILED,WITHDRAWAL,Tambaram Branch,C5048,Education Fees
T402199,5,Chennai,2025-05-09,61314.98,SUCCESS,TRANSFER,Tambaram Branch,C4242,Bill Payment
T402200,5,Chennai,2025-05-09,73646.08,FAILED,WITHDRAWAL,Tambaram Branch,C6839,Bill Payment
T402201,5,Chennai,2025-05-09,35617.76,SUCCESS,TRANSFER,Tambaram Branch,C4280,Shopping
T402202,5,Chennai,2025-05-09,25720.28,FAILED,WITHDRAWAL,Tambaram Branch,C6270,Education Fees
T402203,5,Chennai,2025-05-09,22017.04,SUCCESS,TRANSFER,Tambaram Branch,C9919,Others
T402204,5,Chennai,2025-05-09,69940.47,SUCCESS,WITHDRAWAL,Tambaram Branch,C1057,Travel
T402205,5,Chennai,2025-05-09,56515.44,SUCCESS,TRANSFER,Tambaram Branch,C8081,Bill Payment
T402206,5,Chennai,2025-05-09,47717.98,SUCCESS,WITHDRAWAL,Tambaram Branch,C3678,Travel
T402207,5,Chennai,2025-05-09,62304.13,SUCCESS,TRANSFER,Tambaram Branch,C3553,Bill Payment
T402208,5,Chennai,2025-05-09,92618.95,SUCCESS,WITHDRAWAL,Tambaram Branch,C9091,Others
T402209,5,Chennai,2025-05-09,70132.59,FAILED,TRANSFER,Tambaram Branch,C9265,Loan Payment
T402210,5,Chennai,2025-05-09,7770.17,SUCCESS,DEPOSIT,Tambaram Branch,C6598,Bill Payment
T402211,5,Chennai,2025-05-09,42250.3,FAILED,TRANSFER,Tambaram Branch,C9196,Shopping
T402212,5,Chennai,2025-05-09,79531.79,FAILED,TRANSFER,Tambaram Branch,C8477,Travel
T402213,5,Chennai,2025-05-09,64977.95,SUCCESS,WITHDRAWAL,Tambaram Branch,C2396,Medical Expenses
T402214,5,Chennai,2025-05-09,39521.93,FAILED,DEPOSIT,Tambaram Branch,C8123,Education Fees
T402215,5,Chennai,2025-05-09,22559.03,FAILED,TRANSFER,Tambaram Branch,C2272,Education Fees
T402216,5,Chennai,2025-05-09,87011.67,SUCCESS,TRANSFER,Tambaram Branch,C9947,Others
T402217,5,Chennai,2025-05-09,81786.37,FAILED,DEPOSIT,Tambaram Branch,C2186,Education Fees
T402218,5,Chennai,2025-05-09,77213.3,SUCCESS,TRANSFER,Tambaram Branch,C1060,Bill Payment
T402219,5,Chennai,2025-05-09,26529.01,SUCCESS,WITHDRAWAL,Tambaram Branch,C5945,Shopping
T402220,5,Chennai,2025-05-09,68859.13,FAILED,DEPOSIT,Tambaram Branch,C2356,Shopping
T402221,5,Chennai,2025-05-09,98418.71,FAILED,DEPOSIT,Tambaram Branch,C1503,Travel
T402222,5,Chennai,2025-05-09,14444.34,SUCCESS,WITHDRAWAL,Tambaram Branch,C1262,Bill Payment
T402223,5,Chennai,2025-05-09,49821.35,FAILED,WITHDRAWAL,Tambaram Branch,C8670,Shopping
T402224,5,Chennai,2025-05-09,90627.64,FAILED,DEPOSIT,Tambaram Branch,C2544,Loan Payment
