TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T401721,4,Chennai,2025-05-09,96696.24,SUCCESS,WITHDRAWAL,Velachery Branch,C3083,Travel
T401722,4,Chennai,2025-05-09,79239.07,FAILED,WITHDRAWAL,Velachery Branch,C4747,Loan Payment
T401723,4,Chennai,2025-05-09,30830.21,SUCCESS,TRANSFER,Velachery Branch,C3710,Education Fees
T401724,4,Chennai,2025-05-09,1967.03,SUCCESS,WITHDRAWAL,Velachery Branch,C5686,Travel
T401725,4,Chennai,2025-05-09,6013.38,SUCCESS,WITHDRAWAL,Velachery Branch,C1472,Medical Expenses
T401726,4,Chennai,2025-05-09,45223.73,FAILED,DEPOSIT,Velachery Branch,C4377,Bill Payment
T401727,4,Chennai,2025-05-09,25303.79,SUCCESS,TRANSFER,Velachery Branch,C9030,Medical Expenses
T401728,4,Chennai,2025-05-09,32408.36,SUCCESS,TRANSFER,Velachery Branch,C8096,Travel
T401729,4,Chennai,2025-05-09,11556.38,FAILED,TRANSFER,Velachery Branch,C2355,Others
T401730,4,Chennai,2025-05-09,82239.57,SUCCESS,WITHDRAWAL,Velachery Branch,C7142,Loan Payment
T401731,4,Chennai,2025-05-09,40279.2,FAILED,DEPOSIT,Velachery Branch,C5379,Bill Payment
T401732,4,Chennai,2025-05-09,65534.08,FAILED,WITHDRAWAL,Velachery Branch,C3248,Loan Payment
T401733,4,Chennai,2025-05-09,34776.7,SUCCESS,WITHDRAWAL,Velachery Branch,C7261,Shopping
T401734,4,Chennai,2025-05-09,11705.01,SUCCESS,TRANSFER,Velachery Branch,C2916,Loan Payment
T401735,4,Chennai,2025-05-09,40412.05,FAILED,DEPOSIT,Velachery Branch,C8734,Education Fees
T401736,4,Chennai,2025-05-09,33863.35,SUCCESS,DEPOSIT,Velachery Branch,C3475,Shopping
T401737,4,Chennai,2025-05-09,69467.04,FAILED,WITHDRAWAL,Velachery Branch,C2234,Medical Expenses
T401738,4,Chennai,2025-05-09,94959.22,SUCCESS,DEPOSIT,Velachery Branch,C6325,Loan Payment
T401739,4,Chennai,2025-05-09,43354.45,FAILED,DEPOSIT,Velachery Branch,C6835,Bill Payment
T401740,4,Chennai,2025-05-09,94086.61,FAILED,TRANSFER,Velachery Branch,C3887,Medical Expenses
T401741,4,Chennai,2025-05-09,48475.5,FAILED,TRANSFER,Velachery Branch,C9295,Medical Expenses
T401742,4,Chennai,2025-05-09,60869.43,FAILED,DEPOSIT,Velachery Branch,C1264,Bill Payment
T401743,4,Chennai,2025-05-09,8590.45,SUCCESS,DEPOSIT,Velachery Branch,C8155,Loan Payment
T401744,4,Chennai,2025-05-09,78223.53,FAILED,DEPOSIT,Velachery Branch,C1813,Medical Expenses
T401745,4,Chennai,2025-05-09,77511.01,FAILED,TRANSFER,Velachery Branch,C4794,Medical Expenses
T401746,4,Chennai,2025-05-09,60624.47,FAILED,TRANSFER,Velachery Branch,C6910,Loan Payment
T401747,4,Chennai,2025-05-09,60584.68,FAILED,WITHDRAWAL,Velachery Branch,C1003,Bill Payment
T401748,4,Chennai,2025-05-09,85428.03,FAILED,WITHDRAWAL,Velachery Branch,C7387,Shopping
T401749,4,Chennai,2025-05-09,31192.34,SUCCESS,DEPOSIT,Velachery Branch,C5395,Education Fees
T401750,4,Chennai,2025-05-09,32720.44,FAILED,TRANSFER,Velachery Branch,C3372,Others
T401751,4,Chennai,2025-05-09,76679.77,SUCCESS,TRANSFER,Velachery Branch,C4814,Bill Payment
T401752,4,Chennai,2025-05-09,49996.69,SUCCESS,WITHDRAWAL,Velachery Branch,C3379,Medical Expenses
T401753,4,Chennai,2025-05-09,10810.24,FAILED,DEPOSIT,Velachery Branch,C3578,Loan Payment
T401754,4,Chennai,2025-05-09,78435.64,SUCCESS,WITHDRAWAL,Velachery Branch,C5564,Education Fees
T401755,4,Chennai,2025-05-09,26692.73,SUCCESS,TRANSFER,Velachery Branch,C4782,Travel
T401756,4,Chennai,2025-05-09,95928.1,SUCCESS,DEPOSIT,Velachery Branch,C5684,Travel
T401757,4,Chennai,2025-05-09,18353.94,FAILED,TRANSFER,Velachery Branch,C9774,Education Fees
T401758,4,Chennai,2025-05-09,59244.44,FAILED,DEPOSIT,Velachery Branch,C7956,Medical Expenses
T401759,4,Chennai,2025-05-09,46430.47,SUCCESS,WITHDRAWAL,Velachery Branch,C3941,Others
T401760,4,Chennai,2025-05-09,35998.07,FAILED,TRANSFER,Velachery Branch,C4848,Shopping
T401761,4,Chennai,2025-05-09,23629.59,FAILED,WITHDRAWAL,Velachery Branch,C6343,Education Fees
T401762,4,Chennai,2025-05-09,409.32,FAILED,WITHDRAWAL,Velachery Branch,C2965,Others
T401763,4,Chennai,2025-05-09,38846.35,FAILED,WITHDRAWAL,Velachery Branch,C2563,Loan Payment
T401764,4,Chennai,2025-05-09,36114.11,SUCCESS,TRANSFER,Velachery Branch,C5006,Education Fees
T401765,4,Chennai,2025-05-09,12674.84,FAILED,TRANSFER,Velachery Branch,C2889,Shopping
T401766,4,Chennai,2025-05-09,15915.75,SUCCESS,DEPOSIT,Velachery Branch,C4703,Shopping
T401767,4,Chennai,2025-05-09,81443.08,SUCCESS,TRANSFER,Velachery Branch,C9893,Education Fees
T401768,4,Chennai,2025-05-09,3405.76,FAILED,DEPOSIT,Velachery Branch,C6957,Travel
T401769,4,Chennai,2025-05-09,42805.5,SUCCESS,DEPOSIT,Velachery Branch,C2643,Education Fees
T401770,4,Chennai,2025-05-09,49289.6,SUCCESS,TRANSFER,Velachery Branch,C2920,Bill Payment
T401771,4,Chennai,2025-05-09,23410.37,SUCCESS,DEPOSIT,Velachery Branch,C5998,Loan Payment
T401772,4,Chennai,2025-05-09,94406.49,FAILED,TRANSFER,Velachery Branch,C6220,Medical Expenses
T401773,4,Chennai,2025-05-09,78172.84,SUCCESS,TRANSFER,Velachery Branch,C3168,Loan Payment
T401774,4,Chennai,2025-05-09,69977.24,SUCCESS,TRANSFER,Velachery Branch,C1298,Loan Payment
T401775,4,Chennai,2025-05-09,73894.17,FAILED,DEPOSIT,Velachery Branch,C7744,Bill Payment
