TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T405322,1,Coimbatore,2025-05-09,50435.65,SUCCESS,TRANSFER,Gandhipuram Branch,C4650,Bill Payment
T405323,1,Coimbatore,2025-05-09,16278.67,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C1402,Loan Payment
T405324,1,Coimbatore,2025-05-09,46532.4,FAILED,DEPOSIT,Gandhipuram Branch,C1245,Bill Payment
T405325,1,Coimbatore,2025-05-09,42315.03,SUCCESS,TRANSFER,Gandhipuram Branch,C9791,Loan Payment
T405326,1,Coimbatore,2025-05-09,54266.3,FAILED,WITHDRAWAL,Gandhipuram Branch,C7234,Shopping
T405327,1,Coimbatore,2025-05-09,42879.76,SUCCESS,TRANSFER,Gandhipuram Branch,C8183,Bill Payment
T405328,1,Coimbatore,2025-05-09,72905.99,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C3484,Bill Payment
T405329,1,Coimbatore,2025-05-09,85982.52,SUCCESS,DEPOSIT,Gandhipuram Branch,C2244,Medical Expenses
T405330,1,Coimbatore,2025-05-09,65239.59,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C3685,Others
T405331,1,Coimbatore,2025-05-09,28170.85,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C4345,Others
T405332,1,Coimbatore,2025-05-09,64291.17,SUCCESS,DEPOSIT,Gandhipuram Branch,C6818,Loan Payment
T405333,1,Coimbatore,2025-05-09,13738.98,FAILED,DEPOSIT,Gandhipuram Branch,C3930,Others
T405334,1,Coimbatore,2025-05-09,66578.23,FAILED,TRANSFER,Gandhipuram Branch,C4897,Travel
T405335,1,Coimbatore,2025-05-09,36076.68,FAILED,DEPOSIT,Gandhipuram Branch,C3101,Travel
T405336,1,Coimbatore,2025-05-09,11287.24,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C2920,Others
T405337,1,Coimbatore,2025-05-09,98066.03,FAILED,TRANSFER,Gandhipuram Branch,C5625,Others
T405338,1,Coimbatore,2025-05-09,75895.9,FAILED,DEPOSIT,Gandhipuram Branch,C4975,Education Fees
T405339,1,Coimbatore,2025-05-09,3311.83,SUCCESS,DEPOSIT,Gandhipuram Branch,C8181,Loan Payment
T405340,1,Coimbatore,2025-05-09,42115.95,FAILED,WITHDRAWAL,Gandhipuram Branch,C3190,Travel
T405341,1,Coimbatore,2025-05-09,15889.75,FAILED,TRANSFER,Gandhipuram Branch,C4544,Shopping
T405342,1,Coimbatore,2025-05-09,69203.86,SUCCESS,DEPOSIT,Gandhipuram Branch,C4292,Others
T405343,1,Coimbatore,2025-05-09,93959.24,FAILED,WITHDRAWAL,Gandhipuram Branch,C1417,Shopping
T405344,1,Coimbatore,2025-05-09,94108.52,FAILED,TRANSFER,Gandhipuram Branch,C2538,Loan Payment
T405345,1,Coimbatore,2025-05-09,21808.08,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C5608,Bill Payment
T405346,1,Coimbatore,2025-05-09,50871.44,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C7214,Loan Payment
T405347,1,Coimbatore,2025-05-09,77969.78,FAILED,DEPOSIT,Gandhipuram Branch,C6589,Travel
T405348,1,Coimbatore,2025-05-09,35970.05,FAILED,WITHDRAWAL,Gandhipuram Branch,C3333,Education Fees
T405349,1,Coimbatore,2025-05-09,88471.35,SUCCESS,TRANSFER,Gandhipuram Branch,C8011,Medical Expenses
T405350,1,Coimbatore,2025-05-09,79039.17,FAILED,WITHDRAWAL,Gandhipuram Branch,C7743,Shopping
T405351,1,Coimbatore,2025-05-09,82522.54,FAILED,WITHDRAWAL,Gandhipuram Branch,C8514,Shopping
T405352,1,Coimbatore,2025-05-09,94553.11,FAILED,TRANSFER,Gandhipuram Branch,C4856,Loan Payment
T405353,1,Coimbatore,2025-05-09,30755.5,FAILED,WITHDRAWAL,Gandhipuram Branch,C3688,Medical Expenses
T405354,1,Coimbatore,2025-05-09,5396.31,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C1719,Shopping
T405355,1,Coimbatore,2025-05-09,9614.2,SUCCESS,DEPOSIT,Gandhipuram Branch,C4384,Others
T405356,1,Coimbatore,2025-05-09,83676.62,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C6046,Travel
T405357,1,Coimbatore,2025-05-09,50300.95,FAILED,DEPOSIT,Gandhipuram Branch,C2947,Education Fees
T405358,1,Coimbatore,2025-05-09,62005.46,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C4781,Shopping
T405359,1,Coimbatore,2025-05-09,91584.98,FAILED,WITHDRAWAL,Gandhipuram Branch,C8306,Shopping
T405360,1,Coimbatore,2025-05-09,8683.75,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C9577,Bill Payment
T405361,1,Coimbatore,2025-05-09,33172.21,SUCCESS,TRANSFER,Gandhipuram Branch,C5104,Loan Payment
T405362,1,Coimbatore,2025-05-09,53612.79,SUCCESS,DEPOSIT,Gandhipuram Branch,C2476,Others
T405363,1,Coimbatore,2025-05-09,77559.83,SUCCESS,DEPOSIT,Gandhipuram Branch,C3995,Education Fees
T405364,1,Coimbatore,2025-05-09,59873.57,FAILED,DEPOSIT,Gandhipuram Branch,C6360,Bill Payment
T405365,1,Coimbatore,2025-05-09,76242.85,FAILED,WITHDRAWAL,Gandhipuram Branch,C8081,Loan Payment
T405366,1,Coimbatore,2025-05-09,71487.19,FAILED,WITHDRAWAL,Gandhipuram Branch,C2807,Others
T405367,1,Coimbatore,2025-05-09,82186.19,SUCCESS,TRANSFER,Gandhipuram Branch,C1624,Medical Expenses
T405368,1,Coimbatore,2025-05-09,55025.33,FAILED,DEPOSIT,Gandhipuram Branch,C4486,Loan Payment
T405369,1,Coimbatore,2025-05-09,14529.25,FAILED,DEPOSIT,Gandhipuram Branch,C3251,Others
T405370,1,Coimbatore,2025-05-09,5516.15,FAILED,TRANSFER,Gandhipuram Branch,C3301,Bill Payment
T405371,1,Coimbatore,2025-05-09,51648.79,FAILED,DEPOSIT,Gandhipuram Branch,C7520,Bill Payment
T405372,1,Coimbatore,2025-05-09,66510.52,SUCCESS,TRANSFER,Gandhipuram Branch,C9607,Education Fees
T405373,1,Coimbatore,2025-05-09,77134.48,FAILED,DEPOSIT,Gandhipuram Branch,C8363,Education Fees
T405374,1,Coimbatore,2025-05-09,20189.88,SUCCESS,DEPOSIT,Gandhipuram Branch,C6624,Others
T405375,1,Coimbatore,2025-05-09,7932.35,SUCCESS,DEPOSIT,Gandhipuram Branch,C5637,Loan Payment
T405376,1,Coimbatore,2025-05-09,66162.92,FAILED,TRANSFER,Gandhipuram Branch,C1005,Others
T405377,1,Coimbatore,2025-05-09,88243.74,SUCCESS,TRANSFER,Gandhipuram Branch,C3422,Medical Expenses
T405378,1,Coimbatore,2025-05-09,88419.85,FAILED,DEPOSIT,Gandhipuram Branch,C4336,Loan Payment
T405379,1,Coimbatore,2025-05-09,2640.41,SUCCESS,DEPOSIT,Gandhipuram Branch,C2913,Others
T405380,1,Coimbatore,2025-05-09,25553.99,FAILED,WITHDRAWAL,Gandhipuram Branch,C5727,Shopping
T405381,1,Coimbatore,2025-05-09,89144.64,SUCCESS,DEPOSIT,Gandhipuram Branch,C8857,Others
T405382,1,Coimbatore,2025-05-09,47507.49,SUCCESS,TRANSFER,Gandhipuram Branch,C1464,Shopping
T405383,1,Coimbatore,2025-05-09,27162.07,SUCCESS,DEPOSIT,Gandhipuram Branch,C1757,Shopping
T405384,1,Coimbatore,2025-05-09,71328.58,SUCCESS,TRANSFER,Gandhipuram Branch,C8918,Medical Expenses
T405385,1,Coimbatore,2025-05-09,31820.45,SUCCESS,TRANSFER,Gandhipuram Branch,C3571,Medical Expenses
T405386,1,Coimbatore,2025-05-09,93626.43,FAILED,WITHDRAWAL,Gandhipuram Branch,C8488,Bill Payment
T405387,1,Coimbatore,2025-05-08,471.68,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C6525,Travel
T405388,1,Coimbatore,2025-05-08,33969.66,FAILED,DEPOSIT,Gandhipuram Branch,C5120,Loan Payment
T405389,1,Coimbatore,2025-05-08,59915.88,SUCCESS,DEPOSIT,Gandhipuram Branch,C4753,Medical Expenses
T405390,1,Coimbatore,2025-05-08,33252.29,FAILED,WITHDRAWAL,Gandhipuram Branch,C1747,Shopping
T405391,1,Coimbatore,2025-05-08,27551.99,FAILED,WITHDRAWAL,Gandhipuram Branch,C4806,Medical Expenses
T405392,1,Coimbatore,2025-05-08,70512.3,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C2697,Travel
T405393,1,Coimbatore,2025-05-08,9933.05,SUCCESS,DEPOSIT,Gandhipuram Branch,C7809,Others
T405394,1,Coimbatore,2025-05-08,91691.16,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C7415,Education Fees
T405395,1,Coimbatore,2025-05-08,96809.66,SUCCESS,TRANSFER,Gandhipuram Branch,C1954,Medical Expenses
T405396,1,Coimbatore,2025-05-08,171.17,FAILED,DEPOSIT,Gandhipuram Branch,C6261,Shopping
T405397,1,Coimbatore,2025-05-08,10588.94,FAILED,WITHDRAWAL,Gandhipuram Branch,C7528,Medical Expenses
T405398,1,Coimbatore,2025-05-08,32893.42,FAILED,DEPOSIT,Gandhipuram Branch,C8787,Education Fees
T405399,1,Coimbatore,2025-05-08,28960.94,FAILED,WITHDRAWAL,Gandhipuram Branch,C3910,Education Fees
T405400,1,Coimbatore,2025-05-08,4609.92,SUCCESS,DEPOSIT,Gandhipuram Branch,C7852,Loan Payment
T405401,1,Coimbatore,2025-05-08,42668.84,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C7185,Bill Payment
T405402,1,Coimbatore,2025-05-08,76713.34,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C8494,Others
T405403,1,Coimbatore,2025-05-08,4788.42,SUCCESS,DEPOSIT,Gandhipuram Branch,C5589,Bill Payment
T405404,1,Coimbatore,2025-05-08,38080.21,SUCCESS,TRANSFER,Gandhipuram Branch,C4222,Education Fees
T405405,1,Coimbatore,2025-05-08,66760.05,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C5888,Education Fees
T405406,1,Coimbatore,2025-05-08,31203.24,FAILED,WITHDRAWAL,Gandhipuram Branch,C3628,Shopping
T405407,1,Coimbatore,2025-05-08,46377.03,FAILED,TRANSFER,Gandhipuram Branch,C4311,Shopping
T405408,1,Coimbatore,2025-05-08,91438.04,FAILED,DEPOSIT,Gandhipuram Branch,C8117,Education Fees
T405409,1,Coimbatore,2025-05-08,42932.73,SUCCESS,DEPOSIT,Gandhipuram Branch,C6334,Shopping
T405410,1,Coimbatore,2025-05-08,43418.24,SUCCESS,WITHDRAWAL,Gandhipuram Branch,C1181,Shopping
T405411,1,Coimbatore,2025-05-08,94861.78,FAILED,WITHDRAWAL,Gandhipuram Branch,C2396,Bill Payment
T405412,1,Coimbatore,2025-05-08,51217.29,SUCCESS,TRANSFER,Gandhipuram Branch,C7665,Shopping
