TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T406410,3,Coimbatore,2025-05-09,97516.29,SUCCESS,DEPOSIT,Peelamedu Branch,C9473,Others
T406411,3,Coimbatore,2025-05-09,38379.01,SUCCESS,DEPOSIT,Peelamedu Branch,C8330,Loan Payment
T406412,3,Coimbatore,2025-05-09,5042.0,FAILED,DEPOSIT,Peelamedu Branch,C2736,Loan Payment
T406413,3,Coimbatore,2025-05-09,7631.58,SUCCESS,TRANSFER,Peelamedu Branch,C6794,Medical Expenses
T406414,3,Coimbatore,2025-05-09,294.49,FAILED,WITHDRAWAL,Peelamedu Branch,C6191,Loan Payment
T406415,3,Coimbatore,2025-05-09,51081.96,FAILED,TRANSFER,Peelamedu Branch,C3633,Shopping
T406416,3,Coimbatore,2025-05-09,66087.35,FAILED,DEPOSIT,Peelamedu Branch,C2900,Loan Payment
T406417,3,Coimbatore,2025-05-09,94505.58,SUCCESS,TRANSFER,Peelamedu Branch,C7592,Education Fees
T406418,3,Coimbatore,2025-05-09,24506.69,SUCCESS,TRANSFER,Peelamedu Branch,C6141,Travel
T406419,3,Coimbatore,2025-05-09,56995.64,SUCCESS,TRANSFER,Peelamedu Branch,C7060,Medical Expenses
T406420,3,Coimbatore,2025-05-09,8709.49,FAILED,WITHDRAWAL,Peelamedu Branch,C1847,Shopping
T406421,3,Coimbatore,2025-05-09,74145.55,FAILED,TRANSFER,Peelamedu Branch,C8669,Education Fees
T406422,3,Coimbatore,2025-05-09,98690.83,FAILED,DEPOSIT,Peelamedu Branch,C1926,Travel
T406423,3,Coimbatore,2025-05-09,11628.77,FAILED,TRANSFER,Peelamedu Branch,C1525,Medical Expenses
T406424,3,Coimbatore,2025-05-09,99514.01,FAILED,DEPOSIT,Peelamedu Branch,C1250,Others
T406425,3,Coimbatore,2025-05-09,45201.72,SUCCESS,TRANSFER,Peelamedu Branch,C3137,Bill Payment
T406426,3,Coimbatore,2025-05-09,49106.43,FAILED,WITHDRAWAL,Peelamedu Branch,C8856,Bill Payment
T406427,3,Coimbatore,2025-05-09,41111.15,FAILED,DEPOSIT,Peelamedu Branch,C6753,Travel
T406428,3,Coimbatore,2025-05-09,31338.43,SUCCESS,TRANSFER,Peelamedu Branch,C2509,Travel
T406429,3,Coimbatore,2025-05-09,86882.03,FAILED,DEPOSIT,Peelamedu Branch,C4552,Travel
T406430,3,Coimbatore,2025-05-09,97423.43,SUCCESS,WITHDRAWAL,Peelamedu Branch,C2901,Bill Payment
T406431,3,Coimbatore,2025-05-09,30569.05,FAILED,TRANSFER,Peelamedu Branch,C9443,Medical Expenses
T406432,3,Coimbatore,2025-05-09,34106.93,SUCCESS,TRANSFER,Peelamedu Branch,C2057,Travel
T406433,3,Coimbatore,2025-05-09,97372.31,FAILED,WITHDRAWAL,Peelamedu Branch,C3302,Medical Expenses
T406434,3,Coimbatore,2025-05-09,48545.65,FAILED,WITHDRAWAL,Peelamedu Branch,C3085,Medical Expenses
T406435,3,Coimbatore,2025-05-09,82344.8,SUCCESS,DEPOSIT,Peelamedu Branch,C8718,Education Fees
T406436,3,Coimbatore,2025-05-09,87483.63,FAILED,TRANSFER,Peelamedu Branch,C5699,Medical Expenses
T406437,3,Coimbatore,2025-05-09,42645.78,FAILED,TRANSFER,Peelamedu Branch,C3881,Medical Expenses
T406438,3,Coimbatore,2025-05-09,32219.12,SUCCESS,TRANSFER,Peelamedu Branch,C5122,Others
T406439,3,Coimbatore,2025-05-09,5763.55,SUCCESS,DEPOSIT,Peelamedu Branch,C1070,Education Fees
T406440,3,Coimbatore,2025-05-09,68775.19,SUCCESS,TRANSFER,Peelamedu Branch,C7572,Bill Payment
T406441,3,Coimbatore,2025-05-09,32779.85,FAILED,DEPOSIT,Peelamedu Branch,C3755,Others
T406442,3,Coimbatore,2025-05-09,43684.7,FAILED,DEPOSIT,Peelamedu Branch,C3916,Loan Payment
T406443,3,Coimbatore,2025-05-09,96685.02,SUCCESS,TRANSFER,Peelamedu Branch,C5589,Others
T406444,3,Coimbatore,2025-05-09,52392.36,FAILED,WITHDRAWAL,Peelamedu Branch,C4975,Shopping
T406445,3,Coimbatore,2025-05-09,12741.28,SUCCESS,WITHDRAWAL,Peelamedu Branch,C5295,Loan Payment
T406446,3,Coimbatore,2025-05-09,55591.81,FAILED,TRANSFER,Peelamedu Branch,C5501,Shopping
