TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T405827,2,Coimbatore,2025-05-09,99791.71,SUCCESS,WITHDRAWAL,RS Puram Branch,C3402,Bill Payment
T405828,2,Coimbatore,2025-05-09,3425.53,FAILED,TRANSFER,RS Puram Branch,C7894,Others
T405829,2,Coimbatore,2025-05-09,48078.93,SUCCESS,TRANSFER,RS Puram Branch,C8407,Bill Payment
T405830,2,Coimbatore,2025-05-09,87503.5,SUCCESS,WITHDRAWAL,RS Puram Branch,C5645,Travel
T405831,2,Coimbatore,2025-05-09,78599.32,SUCCESS,DEPOSIT,RS Puram Branch,C7798,Travel
T405832,2,Coimbatore,2025-05-09,91564.3,FAILED,TRANSFER,RS Puram Branch,C1631,Bill Payment
T405833,2,Coimbatore,2025-05-09,52818.39,SUCCESS,DEPOSIT,RS Puram Branch,C9304,Shopping
T405834,2,Coimbatore,2025-05-09,42619.73,SUCCESS,TRANSFER,RS Puram Branch,C5807,Shopping
T405835,2,Coimbatore,2025-05-09,76622.42,FAILED,WITHDRAWAL,RS Puram Branch,C5844,Travel
T405836,2,Coimbatore,2025-05-09,31247.05,SUCCESS,DEPOSIT,RS Puram Branch,C4190,Bill Payment
T405837,2,Coimbatore,2025-05-09,33590.26,FAILED,TRANSFER,RS Puram Branch,C6532,Others
T405838,2,Coimbatore,2025-05-09,89572.19,FAILED,WITHDRAWAL,RS Puram Branch,C7157,Bill Payment
T405839,2,Coimbatore,2025-05-09,34341.19,FAILED,TRANSFER,RS Puram Branch,C3413,Shopping
T405840,2,Coimbatore,2025-05-09,61445.4,SUCCESS,TRANSFER,RS Puram Branch,C7049,Others
T405841,2,Coimbatore,2025-05-09,11914.97,FAILED,TRANSFER,RS Puram Branch,C3736,Medical Expenses
T405842,2,Coimbatore,2025-05-09,21757.43,SUCCESS,DEPOSIT,RS Puram Branch,C3613,Bill Payment
T405843,2,Coimbatore,2025-05-09,41068.73,SUCCESS,DEPOSIT,RS Puram Branch,C2807,Bill Payment
T405844,2,Coimbatore,2025-05-09,62558.1,FAILED,DEPOSIT,RS Puram Branch,C3422,Shopping
