TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T407003,4,Coimbatore,2025-05-09,1470.94,FAILED,WITHDRAWAL,Singanallur Branch,C2957,Travel
T407004,4,Coimbatore,2025-05-09,31524.49,SUCCESS,TRANSFER,Singanallur Branch,C7617,Bill Payment
T407005,4,Coimbatore,2025-05-09,5145.6,FAILED,DEPOSIT,Singanallur Branch,C2695,Bill Payment
T407006,4,Coimbatore,2025-05-09,71096.19,SUCCESS,DEPOSIT,Singanallur Branch,C5516,Education Fees
T407007,4,Coimbatore,2025-05-09,28543.57,FAILED,WITHDRAWAL,Singanallur Branch,C5572,Travel
T407008,4,Coimbatore,2025-05-09,90452.36,FAILED,WITHDRAWAL,Singanallur Branch,C8649,Shopping
T407009,4,Coimbatore,2025-05-09,80054.16,FAILED,DEPOSIT,Singanallur Branch,C4113,Loan Payment
T407010,4,Coimbatore,2025-05-09,2549.3,SUCCESS,WITHDRAWAL,Singanallur Branch,C1576,Bill Payment
T407011,4,Coimbatore,2025-05-09,21891.76,FAILED,WITHDRAWAL,Singanallur Branch,C6347,Bill Payment
T407012,4,Coimbatore,2025-05-09,95592.65,FAILED,DEPOSIT,Singanallur Branch,C7316,Education Fees
T407013,4,Coimbatore,2025-05-09,21850.26,SUCCESS,WITHDRAWAL,Singanallur Branch,C4053,Education Fees
T407014,4,Coimbatore,2025-05-09,72674.33,SUCCESS,DEPOSIT,Singanallur Branch,C9153,Shopping
T407015,4,Coimbatore,2025-05-09,64631.63,FAILED,WITHDRAWAL,Singanallur Branch,C3807,Loan Payment
T407016,4,Coimbatore,2025-05-09,68534.05,SUCCESS,DEPOSIT,Singanallur Branch,C2833,Travel
T407017,4,Coimbatore,2025-05-09,54689.73,SUCCESS,DEPOSIT,Singanallur Branch,C2662,Education Fees
T407018,4,Coimbatore,2025-05-09,78675.9,FAILED,WITHDRAWAL,Singanallur Branch,C6692,Travel
