TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T403245,2,Salem,2025-05-09,83813.01,FAILED,DEPOSIT,Ammapet Branch,C5831,Education Fees
T403246,2,Salem,2025-05-09,39660.94,SUCCESS,TRANSFER,Ammapet Branch,C6623,Shopping
T403247,2,Salem,2025-05-09,49678.48,SUCCESS,DEPOSIT,Ammapet Branch,C3468,Travel
T403248,2,Salem,2025-05-09,36866.93,SUCCESS,TRANSFER,Ammapet Branch,C3311,Bill Payment
T403249,2,Salem,2025-05-09,64585.92,SUCCESS,DEPOSIT,Ammapet Branch,C1757,Shopping
T403250,2,Salem,2025-05-09,93258.89,FAILED,TRANSFER,Ammapet Branch,C4766,Education Fees
T403251,2,Salem,2025-05-09,65907.04,SUCCESS,TRANSFER,Ammapet Branch,C1595,Bill Payment
T403252,2,Salem,2025-05-09,51933.05,FAILED,TRANSFER,Ammapet Branch,C2972,Others
T403253,2,Salem,2025-05-09,11437.95,FAILED,DEPOSIT,Ammapet Branch,C6139,Shopping
T403254,2,Salem,2025-05-09,10008.42,SUCCESS,WITHDRAWAL,Ammapet Branch,C6726,Others
T403255,2,Salem,2025-05-09,79050.34,FAILED,WITHDRAWAL,Ammapet Branch,C7012,Medical Expenses
T403256,2,Salem,2025-05-09,5279.37,SUCCESS,WITHDRAWAL,Ammapet Branch,C2409,Travel
T403257,2,Salem,2025-05-09,19110.83,FAILED,TRANSFER,Ammapet Branch,C8255,Education Fees
T403258,2,Salem,2025-05-09,99489.07,SUCCESS,TRANSFER,Ammapet Branch,C4587,Travel
T403259,2,Salem,2025-05-09,99077.09,SUCCESS,WITHDRAWAL,Ammapet Branch,C9860,Others
T403260,2,Salem,2025-05-09,5988.82,FAILED,TRANSFER,Ammapet Branch,C9408,Education Fees
T403261,2,Salem,2025-05-09,51011.2,SUCCESS,WITHDRAWAL,Ammapet Branch,C9222,Medical Expenses
T403262,2,Salem,2025-05-09,41243.55,SUCCESS,DEPOSIT,Ammapet Branch,C5169,Education Fees
T403263,2,Salem,2025-05-09,99987.43,SUCCESS,TRANSFER,Ammapet Branch,C8568,Shopping
T403264,2,Salem,2025-05-09,94590.68,FAILED,DEPOSIT,Ammapet Branch,C6118,Medical Expenses
T403265,2,Salem,2025-05-09,68626.59,FAILED,WITHDRAWAL,Ammapet Branch,C7419,Travel
T403266,2,Salem,2025-05-09,31836.84,SUCCESS,TRANSFER,Ammapet Branch,C4086,Education Fees
T403267,2,Salem,2025-05-09,5872.48,FAILED,DEPOSIT,Ammapet Branch,C1587,Medical Expenses
T403268,2,Salem,2025-05-09,34201.81,SUCCESS,DEPOSIT,Ammapet Branch,C5661,Education Fees
T403269,2,Salem,2025-05-09,979.7,FAILED,TRANSFER,Ammapet Branch,C8217,Medical Expenses
T403270,2,Salem,2025-05-09,71260.67,SUCCESS,TRANSFER,Ammapet Branch,C3992,Others
T403271,2,Salem,2025-05-09,26287.96,SUCCESS,DEPOSIT,Ammapet Branch,C8499,Education Fees
T403272,2,Salem,2025-05-09,93524.48,SUCCESS,TRANSFER,Ammapet Branch,C1545,Others
T403273,2,Salem,2025-05-09,76139.96,SUCCESS,DEPOSIT,Ammapet Branch,C6534,Loan Payment
T403274,2,Salem,2025-05-09,30771.22,SUCCESS,TRANSFER,Ammapet Branch,C9435,Others
T403275,2,Salem,2025-05-09,20598.08,FAILED,TRANSFER,Ammapet Branch,C3762,Others
T403276,2,Salem,2025-05-09,56537.85,SUCCESS,DEPOSIT,Ammapet Branch,C7480,Bill Payment
T403277,2,Salem,2025-05-09,67764.48,FAILED,DEPOSIT,Ammapet Branch,C6098,Shopping
T403278,2,Salem,2025-05-09,75011.72,FAILED,WITHDRAWAL,Ammapet Branch,C1242,Bill Payment
T403279,2,Salem,2025-05-09,37143.22,FAILED,DEPOSIT,Ammapet Branch,C3633,Travel
T403280,2,Salem,2025-05-09,90806.61,SUCCESS,DEPOSIT,Ammapet Branch,C8178,Shopping
T403281,2,Salem,2025-05-09,47224.58,FAILED,DEPOSIT,Ammapet Branch,C7810,Medical Expenses
T403282,2,Salem,2025-05-09,9108.12,FAILED,WITHDRAWAL,Ammapet Branch,C2355,Others
T403283,2,Salem,2025-05-09,52466.47,SUCCESS,WITHDRAWAL,Ammapet Branch,C7651,Medical Expenses
T403284,2,Salem,2025-05-09,65788.4,FAILED,TRANSFER,Ammapet Branch,C6912,Travel
T403285,2,Salem,2025-05-09,37312.87,FAILED,TRANSFER,Ammapet Branch,C9973,Education Fees
T403286,2,Salem,2025-05-09,44615.75,SUCCESS,WITHDRAWAL,Ammapet Branch,C8914,Shopping
T403287,2,Salem,2025-05-09,61105.3,SUCCESS,WITHDRAWAL,Ammapet Branch,C7031,Education Fees
T403288,2,Salem,2025-05-09,52610.88,FAILED,WITHDRAWAL,Ammapet Branch,C1136,Loan Payment
T403289,2,Salem,2025-05-09,91225.59,SUCCESS,TRANSFER,Ammapet Branch,C4469,Medical Expenses
T403290,2,Salem,2025-05-09,98520.31,SUCCESS,TRANSFER,Ammapet Branch,C4104,Travel
T403291,2,Salem,2025-05-09,69859.94,FAILED,DEPOSIT,Ammapet Branch,C7878,Others
T403292,2,Salem,2025-05-09,74535.79,SUCCESS,WITHDRAWAL,Ammapet Branch,C3717,Loan Payment
T403293,2,Salem,2025-05-09,15214.84,SUCCESS,TRANSFER,Ammapet Branch,C1909,Education Fees
