TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T402761,1,Salem,2025-05-09,54932.47,FAILED,WITHDRAWAL,Fairlands Branch,C2367,Shopping
T402762,1,Salem,2025-05-09,68887.46,FAILED,DEPOSIT,Fairlands Branch,C7852,Others
T402763,1,Salem,2025-05-09,84284.84,FAILED,TRANSFER,Fairlands Branch,C1046,Travel
T402764,1,Salem,2025-05-09,50222.89,SUCCESS,DEPOSIT,Fairlands Branch,C1336,Education Fees
T402765,1,Salem,2025-05-09,45067.97,SUCCESS,TRANSFER,Fairlands Branch,C2395,Loan Payment
T402766,1,Salem,2025-05-09,74583.05,FAILED,DEPOSIT,Fairlands Branch,C6642,Others
T402767,1,Salem,2025-05-09,46009.52,FAILED,DEPOSIT,Fairlands Branch,C3328,Others
T402768,1,Salem,2025-05-09,86866.67,FAILED,TRANSFER,Fairlands Branch,C7333,Bill Payment
T402769,1,Salem,2025-05-09,9498.49,SUCCESS,WITHDRAWAL,Fairlands Branch,C4823,Education Fees
T402770,1,Salem,2025-05-09,39385.17,SUCCESS,WITHDRAWAL,Fairlands Branch,C8832,Travel
T402771,1,Salem,2025-05-09,529.85,SUCCESS,TRANSFER,Fairlands Branch,C6437,Shopping
T402772,1,Salem,2025-05-09,97630.53,FAILED,WITHDRAWAL,Fairlands Branch,C4358,Shopping
T402773,1,Salem,2025-05-09,84003.27,SUCCESS,WITHDRAWAL,Fairlands Branch,C7713,Bill Payment
T402774,1,Salem,2025-05-09,80510.1,FAILED,DEPOSIT,Fairlands Branch,C2865,Shopping
T402775,1,Salem,2025-05-09,68111.88,SUCCESS,DEPOSIT,Fairlands Branch,C4899,Travel
T402776,1,Salem,2025-05-09,83996.55,SUCCESS,DEPOSIT,Fairlands Branch,C5829,Bill Payment
T402777,1,Salem,2025-05-09,2683.69,SUCCESS,DEPOSIT,Fairlands Branch,C2104,Education Fees
T402778,1,Salem,2025-05-09,70992.11,FAILED,DEPOSIT,Fairlands Branch,C5059,Medical Expenses
T402779,1,Salem,2025-05-09,31680.9,FAILED,TRANSFER,Fairlands Branch,C1759,Bill Payment
T402780,1,Salem,2025-05-09,67933.38,FAILED,TRANSFER,Fairlands Branch,C1841,Bill Payment
T402781,1,Salem,2025-05-09,23398.7,FAILED,TRANSFER,Fairlands Branch,C1564,Education Fees
T402782,1,Salem,2025-05-09,65241.06,SUCCESS,DEPOSIT,Fairlands Branch,C1085,Shopping
T402783,1,Salem,2025-05-09,25667.75,FAILED,DEPOSIT,Fairlands Branch,C2358,Others
T402784,1,Salem,2025-05-09,3007.53,SUCCESS,DEPOSIT,Fairlands Branch,C3944,Medical Expenses
T402785,1,Salem,2025-05-09,25724.74,SUCCESS,WITHDRAWAL,Fairlands Branch,C9889,Medical Expenses
T402786,1,Salem,2025-05-09,88411.69,FAILED,TRANSFER,Fairlands Branch,C3097,Travel
T402787,1,Salem,2025-05-09,15985.26,FAILED,TRANSFER,Fairlands Branch,C7249,Shopping
T402788,1,Salem,2025-05-09,94405.54,FAILED,WITHDRAWAL,Fairlands Branch,C2077,Shopping
T402789,1,Salem,2025-05-09,38285.52,SUCCESS,WITHDRAWAL,Fairlands Branch,C4225,Shopping
T402790,1,Salem,2025-05-09,49040.91,SUCCESS,WITHDRAWAL,Fairlands Branch,C7983,Shopping
T402791,1,Salem,2025-05-09,93208.3,FAILED,TRANSFER,Fairlands Branch,C1704,Education Fees
T402792,1,Salem,2025-05-09,72840.95,SUCCESS,TRANSFER,Fairlands Branch,C7076,Medical Expenses
T402793,1,Salem,2025-05-09,91544.56,SUCCESS,DEPOSIT,Fairlands Branch,C5412,Shopping
T402794,1,Salem,2025-05-09,47167.65,FAILED,WITHDRAWAL,Fairlands Branch,C8696,Medical Expenses
T402795,1,Salem,2025-05-09,62615.48,SUCCESS,WITHDRAWAL,Fairlands Branch,C2633,Travel
T402796,1,Salem,2025-05-09,62797.73,SUCCESS,TRANSFER,Fairlands Branch,C8153,Travel
T402797,1,Salem,2025-05-09,87952.3,FAILED,TRANSFER,Fairlands Branch,C4226,Education Fees
