TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T404193,4,Salem,2025-05-09,3349.78,SUCCESS,TRANSFER,Gugai Branch,C3014,Education Fees
T404194,4,Salem,2025-05-09,84944.83,SUCCESS,WITHDRAWAL,Gugai Branch,C3482,Shopping
T404195,4,Salem,2025-05-09,47869.1,SUCCESS,WITHDRAWAL,Gugai Branch,C3764,Others
T404196,4,Salem,2025-05-09,14915.69,SUCCESS,DEPOSIT,Gugai Branch,C2155,Shopping
T404197,4,Salem,2025-05-09,57802.81,SUCCESS,WITHDRAWAL,Gugai Branch,C6482,Loan Payment
T404198,4,Salem,2025-05-09,22012.52,SUCCESS,TRANSFER,Gugai Branch,C8577,Medical Expenses
T404199,4,Salem,2025-05-09,81618.36,SUCCESS,WITHDRAWAL,Gugai Branch,C2440,Medical Expenses
T404200,4,Salem,2025-05-09,41813.95,SUCCESS,WITHDRAWAL,Gugai Branch,C1724,Travel
T404201,4,Salem,2025-05-09,59369.51,FAILED,WITHDRAWAL,Gugai Branch,C2604,Medical Expenses
T404202,4,Salem,2025-05-09,89294.86,SUCCESS,DEPOSIT,Gugai Branch,C7600,Others
T404203,4,Salem,2025-05-09,71677.77,SUCCESS,WITHDRAWAL,Gugai Branch,C9475,Medical Expenses
T404204,4,Salem,2025-05-09,35311.12,FAILED,WITHDRAWAL,Gugai Branch,C5925,Bill Payment
T404205,4,Salem,2025-05-09,90093.7,FAILED,DEPOSIT,Gugai Branch,C3195,Loan Payment
T404206,4,Salem,2025-05-09,81915.5,FAILED,TRANSFER,Gugai Branch,C2744,Travel
T404207,4,Salem,2025-05-09,45295.71,SUCCESS,DEPOSIT,Gugai Branch,C6949,Medical Expenses
T404208,4,Salem,2025-05-09,49974.4,SUCCESS,DEPOSIT,Gugai Branch,C5352,Travel
T404209,4,Salem,2025-05-09,73384.61,SUCCESS,TRANSFER,Gugai Branch,C7257,Travel
T404210,4,Salem,2025-05-09,46615.76,SUCCESS,DEPOSIT,Gugai Branch,C8076,Medical Expenses
T404211,4,Salem,2025-05-09,63413.11,FAILED,WITHDRAWAL,Gugai Branch,C5602,Others
T404212,4,Salem,2025-05-09,51068.0,FAILED,WITHDRAWAL,Gugai Branch,C9548,Education Fees
T404213,4,Salem,2025-05-09,43122.5,SUCCESS,TRANSFER,Gugai Branch,C5494,Shopping
T404214,4,Salem,2025-05-09,53590.73,FAILED,DEPOSIT,Gugai Branch,C5529,Medical Expenses
T404215,4,Salem,2025-05-09,81670.9,SUCCESS,DEPOSIT,Gugai Branch,C6614,Travel
T404216,4,Salem,2025-05-09,30898.47,SUCCESS,WITHDRAWAL,Gugai Branch,C4364,Others
T404217,4,Salem,2025-05-09,77028.06,SUCCESS,WITHDRAWAL,Gugai Branch,C7594,Medical Expenses
T404218,4,Salem,2025-05-09,4887.97,SUCCESS,DEPOSIT,Gugai Branch,C2291,Medical Expenses
T404219,4,Salem,2025-05-09,60971.69,FAILED,TRANSFER,Gugai Branch,C1911,Others
T404220,4,Salem,2025-05-09,63968.31,FAILED,DEPOSIT,Gugai Branch,C8603,Loan Payment
T404221,4,Salem,2025-05-09,66575.09,FAILED,TRANSFER,Gugai Branch,C6675,Travel
T404222,4,Salem,2025-05-09,63403.22,SUCCESS,TRANSFER,Gugai Branch,C9938,Education Fees
T404223,4,Salem,2025-05-09,85524.42,SUCCESS,DEPOSIT,Gugai Branch,C7697,Education Fees
T404224,4,Salem,2025-05-09,33847.69,FAILED,TRANSFER,Gugai Branch,C3563,Medical Expenses
T404225,4,Salem,2025-05-09,24072.09,FAILED,WITHDRAWAL,Gugai Branch,C8272,Shopping
T404226,4,Salem,2025-05-09,66149.3,SUCCESS,DEPOSIT,Gugai Branch,C3277,Education Fees
T404227,4,Salem,2025-05-09,56813.05,SUCCESS,WITHDRAWAL,Gugai Branch,C8811,Medical Expenses
T404228,4,Salem,2025-05-09,33987.08,FAILED,WITHDRAWAL,Gugai Branch,C6477,Education Fees
T404229,4,Salem,2025-05-09,88915.84,SUCCESS,DEPOSIT,Gugai Branch,C5016,Loan Payment
T404230,4,Salem,2025-05-09,47813.1,SUCCESS,TRANSFER,Gugai Branch,C9303,Others
T404231,4,Salem,2025-05-09,34041.6,SUCCESS,DEPOSIT,Gugai Branch,C6825,Others
T404232,4,Salem,2025-05-09,84783.38,FAILED,TRANSFER,Gugai Branch,C5005,Loan Payment
T404233,4,Salem,2025-05-09,83424.86,SUCCESS,DEPOSIT,Gugai Branch,C8016,Travel
T404234,4,Salem,2025-05-09,26944.64,FAILED,DEPOSIT,Gugai Branch,C9355,Travel
T404235,4,Salem,2025-05-09,24505.44,SUCCESS,TRANSFER,Gugai Branch,C1117,Medical Expenses
T404236,4,Salem,2025-05-09,5485.96,SUCCESS,TRANSFER,Gugai Branch,C5760,Others
T404237,4,Salem,2025-05-09,87323.42,SUCCESS,TRANSFER,Gugai Branch,C4100,Medical Expenses
T404238,4,Salem,2025-05-09,18409.97,FAILED,WITHDRAWAL,Gugai Branch,C2255,Travel
T404239,4,Salem,2025-05-09,47397.53,FAILED,DEPOSIT,Gugai Branch,C4628,Others
T404240,4,Salem,2025-05-09,62109.25,SUCCESS,WITHDRAWAL,Gugai Branch,C1740,Education Fees
T404241,4,Salem,2025-05-09,60928.85,FAILED,TRANSFER,Gugai Branch,C7210,Education Fees
T404242,4,Salem,2025-05-09,83412.92,FAILED,DEPOSIT,Gugai Branch,C2443,Bill Payment
T404243,4,Salem,2025-05-09,7011.87,SUCCESS,TRANSFER,Gugai Branch,C9808,Shopping
T404244,4,Salem,2025-05-09,21528.59,SUCCESS,WITHDRAWAL,Gugai Branch,C8969,Loan Payment
T404245,4,Salem,2025-05-09,53641.98,SUCCESS,TRANSFER,Gugai Branch,C7249,Medical Expenses
T404246,4,Salem,2025-05-09,6846.18,FAILED,DEPOSIT,Gugai Branch,C8584,Education Fees
T404247,4,Salem,2025-05-09,88585.17,SUCCESS,WITHDRAWAL,Gugai Branch,C6377,Education Fees
T404248,4,Salem,2025-05-09,98576.35,SUCCESS,WITHDRAWAL,Gugai Branch,C3085,Education Fees
T404249,4,Salem,2025-05-09,21323.99,FAILED,TRANSFER,Gugai Branch,C1296,Others
T404250,4,Salem,2025-05-09,40041.63,SUCCESS,WITHDRAWAL,Gugai Branch,C1315,Bill Payment
T404251,4,Salem,2025-05-09,28815.39,FAILED,DEPOSIT,Gugai Branch,C8256,Travel
T404252,4,Salem,2025-05-09,23184.22,SUCCESS,TRANSFER,Gugai Branch,C8355,Others
T404253,4,Salem,2025-05-09,25159.02,SUCCESS,DEPOSIT,Gugai Branch,C4175,Travel
T404254,4,Salem,2025-05-09,95306.86,FAILED,TRANSFER,Gugai Branch,C5925,Shopping
