TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T403737,3,Salem,2025-05-09,54531.52,SUCCESS,DEPOSIT,Hasthampatti Branch,C7523,Education Fees
T403738,3,Salem,2025-05-09,27461.12,FAILED,TRANSFER,Hasthampatti Branch,C9519,Education Fees
T403739,3,Salem,2025-05-09,64744.11,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C2834,Medical Expenses
T403740,3,Salem,2025-05-09,95285.67,FAILED,WITHDRAWAL,Hasthampatti Branch,C4344,Bill Payment
T403741,3,Salem,2025-05-09,11053.54,FAILED,DEPOSIT,Hasthampatti Branch,C9927,Medical Expenses
T403742,3,Salem,2025-05-09,34841.22,SUCCESS,TRANSFER,Hasthampatti Branch,C9137,Shopping
T403743,3,Salem,2025-05-09,60022.05,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C6371,Shopping
T403744,3,Salem,2025-05-09,71180.88,SUCCESS,DEPOSIT,Hasthampatti Branch,C3474,Others
T403745,3,Salem,2025-05-09,26453.16,FAILED,TRANSFER,Hasthampatti Branch,C6996,Bill Payment
T403746,3,Salem,2025-05-09,47208.76,SUCCESS,DEPOSIT,Hasthampatti Branch,C5192,Medical Expenses
T403747,3,Salem,2025-05-09,74618.19,FAILED,DEPOSIT,Hasthampatti Branch,C6954,Shopping
T403748,3,Salem,2025-05-09,45698.81,SUCCESS,DEPOSIT,Hasthampatti Branch,C9917,Education Fees
T403749,3,Salem,2025-05-09,71780.52,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C3746,Medical Expenses
T403750,3,Salem,2025-05-09,91193.98,FAILED,TRANSFER,Hasthampatti Branch,C3176,Medical Expenses
T403751,3,Salem,2025-05-09,14636.1,SUCCESS,TRANSFER,Hasthampatti Branch,C1855,Education Fees
T403752,3,Salem,2025-05-09,44732.12,FAILED,TRANSFER,Hasthampatti Branch,C7158,Shopping
T403753,3,Salem,2025-05-09,6830.47,FAILED,DEPOSIT,Hasthampatti Branch,C8237,Shopping
T403754,3,Salem,2025-05-09,70548.44,FAILED,WITHDRAWAL,Hasthampatti Branch,C8182,Shopping
T403755,3,Salem,2025-05-09,68071.63,FAILED,TRANSFER,Hasthampatti Branch,C1507,Others
T403756,3,Salem,2025-05-09,22209.29,FAILED,DEPOSIT,Hasthampatti Branch,C9339,Travel
T403757,3,Salem,2025-05-09,90131.55,SUCCESS,DEPOSIT,Hasthampatti Branch,C7773,Education Fees
T403758,3,Salem,2025-05-09,99608.85,FAILED,WITHDRAWAL,Hasthampatti Branch,C8475,Bill Payment
T403759,3,Salem,2025-05-09,17635.39,SUCCESS,TRANSFER,Hasthampatti Branch,C7806,Travel
T403760,3,Salem,2025-05-09,3942.83,SUCCESS,DEPOSIT,Hasthampatti Branch,C2037,Others
T403761,3,Salem,2025-05-09,79365.0,SUCCESS,TRANSFER,Hasthampatti Branch,C5981,Shopping
T403762,3,Salem,2025-05-09,95230.51,FAILED,WITHDRAWAL,Hasthampatti Branch,C9886,Loan Payment
T403763,3,Salem,2025-05-09,37207.6,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C5121,Travel
T403764,3,Salem,2025-05-09,7874.56,SUCCESS,TRANSFER,Hasthampatti Branch,C7286,Others
T403765,3,Salem,2025-05-09,78149.93,FAILED,DEPOSIT,Hasthampatti Branch,C1315,Bill Payment
T403766,3,Salem,2025-05-09,36581.7,FAILED,DEPOSIT,Hasthampatti Branch,C8148,Bill Payment
T403767,3,Salem,2025-05-09,33604.63,SUCCESS,DEPOSIT,Hasthampatti Branch,C6475,Shopping
T403768,3,Salem,2025-05-09,55773.5,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C9042,Shopping
T403769,3,Salem,2025-05-09,68324.03,FAILED,WITHDRAWAL,Hasthampatti Branch,C6734,Shopping
T403770,3,Salem,2025-05-09,75446.67,FAILED,TRANSFER,Hasthampatti Branch,C5658,Travel
T403771,3,Salem,2025-05-09,63814.86,SUCCESS,TRANSFER,Hasthampatti Branch,C6120,Medical Expenses
T403772,3,Salem,2025-05-09,91776.91,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C6680,Shopping
T403773,3,Salem,2025-05-09,27159.41,FAILED,TRANSFER,Hasthampatti Branch,C2398,Bill Payment
T403774,3,Salem,2025-05-09,90922.94,FAILED,WITHDRAWAL,Hasthampatti Branch,C7416,Shopping
T403775,3,Salem,2025-05-09,34528.32,FAILED,TRANSFER,Hasthampatti Branch,C2529,Bill Payment
T403776,3,Salem,2025-05-09,11661.71,SUCCESS,TRANSFER,Hasthampatti Branch,C8863,Education Fees
T403777,3,Salem,2025-05-09,47894.16,FAILED,WITHDRAWAL,Hasthampatti Branch,C3807,Others
T403778,3,Salem,2025-05-09,14110.52,SUCCESS,TRANSFER,Hasthampatti Branch,C1969,Bill Payment
T403779,3,Salem,2025-05-09,33036.94,FAILED,WITHDRAWAL,Hasthampatti Branch,C5961,Bill Payment
T403780,3,Salem,2025-05-09,90289.11,SUCCESS,TRANSFER,Hasthampatti Branch,C3796,Medical Expenses
T403781,3,Salem,2025-05-09,78630.57,FAILED,WITHDRAWAL,Hasthampatti Branch,C3884,Shopping
T403782,3,Salem,2025-05-09,31824.73,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C7163,Education Fees
T403783,3,Salem,2025-05-09,32230.83,FAILED,WITHDRAWAL,Hasthampatti Branch,C2225,Travel
T403784,3,Salem,2025-05-09,56707.55,FAILED,TRANSFER,Hasthampatti Branch,C8037,Loan Payment
T403785,3,Salem,2025-05-09,77914.5,FAILED,WITHDRAWAL,Hasthampatti Branch,C7176,Shopping
T403786,3,Salem,2025-05-09,31336.4,FAILED,DEPOSIT,Hasthampatti Branch,C9762,Medical Expenses
T403787,3,Salem,2025-05-09,4715.72,FAILED,WITHDRAWAL,Hasthampatti Branch,C3874,Medical Expenses
T403788,3,Salem,2025-05-09,51045.9,SUCCESS,TRANSFER,Hasthampatti Branch,C9162,Medical Expenses
T403789,3,Salem,2025-05-09,69296.09,FAILED,TRANSFER,Hasthampatti Branch,C5522,Education Fees
T403790,3,Salem,2025-05-09,9772.04,SUCCESS,TRANSFER,Hasthampatti Branch,C5377,Bill Payment
T403791,3,Salem,2025-05-09,98243.64,FAILED,DEPOSIT,Hasthampatti Branch,C5371,Travel
T403792,3,Salem,2025-05-09,34484.6,SUCCESS,TRANSFER,Hasthampatti Branch,C9658,Travel
T403793,3,Salem,2025-05-09,85676.24,FAILED,WITHDRAWAL,Hasthampatti Branch,C2794,Education Fees
T403794,3,Salem,2025-05-09,1864.03,SUCCESS,DEPOSIT,Hasthampatti Branch,C3089,Travel
T403795,3,Salem,2025-05-09,96739.99,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C1810,Travel
T403796,3,Salem,2025-05-09,1054.94,FAILED,DEPOSIT,Hasthampatti Branch,C2963,Loan Payment
T403797,3,Salem,2025-05-09,77723.46,FAILED,DEPOSIT,Hasthampatti Branch,C7606,Others
T403798,3,Salem,2025-05-09,61290.8,FAILED,WITHDRAWAL,Hasthampatti Branch,C9401,Education Fees
T403799,3,Salem,2025-05-09,63330.16,SUCCESS,DEPOSIT,Hasthampatti Branch,C7915,Others
T403800,3,Salem,2025-05-08,26685.29,SUCCESS,DEPOSIT,Hasthampatti Branch,C1745,Loan Payment
T403801,3,Salem,2025-05-08,44751.17,FAILED,TRANSFER,Hasthampatti Branch,C5435,Bill Payment
T403802,3,Salem,2025-05-08,24733.54,FAILED,DEPOSIT,Hasthampatti Branch,C3616,Education Fees
T403803,3,Salem,2025-05-08,49479.67,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C4213,Shopping
T403804,3,Salem,2025-05-08,68162.93,FAILED,TRANSFER,Hasthampatti Branch,C9250,Others
T403805,3,Salem,2025-05-08,25892.22,SUCCESS,DEPOSIT,Hasthampatti Branch,C2739,Education Fees
T403806,3,Salem,2025-05-08,98254.28,SUCCESS,DEPOSIT,Hasthampatti Branch,C8810,Medical Expenses
T403807,3,Salem,2025-05-08,15670.32,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C7892,Education Fees
T403808,3,Salem,2025-05-08,89803.69,SUCCESS,DEPOSIT,Hasthampatti Branch,C6887,Others
T403809,3,Salem,2025-05-08,21854.11,SUCCESS,TRANSFER,Hasthampatti Branch,C5680,Medical Expenses
T403810,3,Salem,2025-05-08,99944.39,FAILED,DEPOSIT,Hasthampatti Branch,C5512,Loan Payment
T403811,3,Salem,2025-05-08,20047.83,FAILED,WITHDRAWAL,Hasthampatti Branch,C3816,Shopping
T403812,3,Salem,2025-05-08,65625.5,SUCCESS,WITHDRAWAL,Hasthampatti Branch,C6253,Others
T403813,3,Salem,2025-05-08,11413.04,FAILED,TRANSFER,Hasthampatti Branch,C5660,Shopping
