TRANSACTION_ID,BRANCH_ID,CITY,DATE,AMOUNT,STATUS,TRANSACTION_TYPE,BRANCH_NAME,CUSTOMER_ID,PURPOSE
T404730,5,Salem,2025-05-09,64230.97,SUCCESS,WITHDRAWAL,Seelanaickenpatti Branch,C7615,Education Fees
T404731,5,Salem,2025-05-09,10466.66,FAILED,DEPOSIT,Seelanaickenpatti Branch,C4210,Others
T404732,5,Salem,2025-05-09,83520.1,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C2841,Medical Expenses
T404733,5,Salem,2025-05-09,16791.24,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C5213,Loan Payment
T404734,5,Salem,2025-05-09,29428.55,SUCCESS,DEPOSIT,Seelanaickenpatti Branch,C6019,Travel
T404735,5,Salem,2025-05-09,69202.7,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C5239,Others
T404736,5,Salem,2025-05-09,38760.59,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C8339,Bill Payment
T404737,5,Salem,2025-05-09,55878.58,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C1776,Shopping
T404738,5,Salem,2025-05-09,14107.95,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C4691,Shopping
T404739,5,Salem,2025-05-09,7068.06,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C6926,Education Fees
T404740,5,Salem,2025-05-09,18669.69,FAILED,DEPOSIT,Seelanaickenpatti Branch,C5754,Education Fees
T404741,5,Salem,2025-05-09,15801.28,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C1767,Travel
T404742,5,Salem,2025-05-09,22175.72,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C1426,Shopping
T404743,5,Salem,2025-05-09,8134.55,SUCCESS,WITHDRAWAL,Seelanaickenpatti Branch,C5654,Shopping
T404744,5,Salem,2025-05-09,80750.57,SUCCESS,DEPOSIT,Seelanaickenpatti Branch,C5640,Shopping
T404745,5,Salem,2025-05-09,41629.36,FAILED,WITHDRAWAL,Seelanaickenpatti Branch,C7178,Others
T404746,5,Salem,2025-05-09,25851.78,FAILED,DEPOSIT,Seelanaickenpatti Branch,C8528,Travel
T404747,5,Salem,2025-05-09,69891.45,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C1917,Bill Payment
T404748,5,Salem,2025-05-09,39373.16,FAILED,TRANSFER,Seelanaickenpatti Branch,C2799,Bill Payment
T404749,5,Salem,2025-05-09,1447.35,SUCCESS,WITHDRAWAL,Seelanaickenpatti Branch,C5256,Education Fees
T404750,5,Salem,2025-05-09,52346.24,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C4384,Shopping
T404751,5,Salem,2025-05-09,15023.37,SUCCESS,DEPOSIT,Seelanaickenpatti Branch,C7241,Loan Payment
T404752,5,Salem,2025-05-09,85320.16,FAILED,DEPOSIT,Seelanaickenpatti Branch,C8110,Shopping
T404753,5,Salem,2025-05-09,79808.43,SUCCESS,WITHDRAWAL,Seelanaickenpatti Branch,C5758,Bill Payment
T404754,5,Salem,2025-05-09,60849.69,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C1533,Loan Payment
T404755,5,Salem,2025-05-09,96726.06,SUCCESS,WITHDRAWAL,Seelanaickenpatti Branch,C6911,Travel
T404756,5,Salem,2025-05-09,41107.79,FAILED,TRANSFER,Seelanaickenpatti Branch,C6215,Travel
T404757,5,Salem,2025-05-09,92693.98,SUCCESS,TRANSFER,Seelanaickenpatti Branch,C9343,Medical Expenses
T404758,5,Salem,2025-05-09,13545.76,SUCCESS,DEPOSIT,Seelanaickenpatti Branch,C8474,Loan Payment
